,Batch Size,num_epochs,model_name,Loss,Top1 accuracies,Top5 Accuracies,Duration,MAX Train Time
vgg_baseline,8,8,vgg,3.2908788723945617,0.2096,0.4801,6003.188087658,5400
squeeznet_baseline,8,8,squeezenet,3.1403735517024995,0.22290000000000001,0.5089,5433.639718050003,5400
